Date : 2023-11-16 21:52:50
Directory : /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio
Total : 85 files,  5263 codes, 436 comments, 469 blanks, all 6168 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         27 |      2,369 |         99 |        142 |      2,610 |
| Project.pbxproj |          2 |      1,214 |         64 |         33 |      1,311 |
| XML             |         17 |        602 |         48 |         19 |        669 |
| C++             |         16 |        541 |        121 |        182 |        844 |
| JSON            |          5 |        249 |          0 |          4 |        253 |
| Gradle          |          3 |         94 |          5 |         22 |        121 |
| Swift           |          6 |         56 |          7 |         20 |         83 |
| YAML            |          2 |         40 |         76 |         18 |        134 |
| CMake           |          2 |         39 |          0 |         12 |         51 |
| HTML            |          1 |         38 |         16 |          6 |         60 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Properties      |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                |         85 |      5,263 |        436 |        469 |      6,168 |
| . (Files)                                                                                                                                                        |          3 |         50 |         76 |         25 |        151 |
| android                                                                                                                                                          |         12 |        161 |         51 |         33 |        245 |
| android (Files)                                                                                                                                                  |          3 |         46 |          0 |         11 |         57 |
| android/app                                                                                                                                                      |          8 |        110 |         51 |         21 |        182 |
| android/app (Files)                                                                                                                                              |          1 |         51 |          5 |         12 |         68 |
| android/app/src                                                                                                                                                  |          7 |         59 |         46 |          9 |        114 |
| android/app/src/debug                                                                                                                                            |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                                                             |          5 |         53 |         38 |          7 |         98 |
| android/app/src/main (Files)                                                                                                                                     |          1 |         27 |          6 |          1 |         34 |
| android/app/src/main/res                                                                                                                                         |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                                                |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                                            |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                                            |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                                          |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                                                           |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| ios                                                                                                                                                              |         13 |        888 |         35 |         33 |        956 |
| ios/Flutter                                                                                                                                                      |          1 |         26 |          0 |          1 |         27 |
| ios/Runner                                                                                                                                                       |          8 |        271 |          2 |         10 |        283 |
| ios/Runner (Files)                                                                                                                                               |          3 |         62 |          0 |          4 |         66 |
| ios/Runner.xcodeproj                                                                                                                                             |          2 |        576 |         31 |         17 |        624 |
| ios/Runner.xcodeproj (Files)                                                                                                                                     |          1 |        568 |         31 |         16 |        615 |
| ios/Runner.xcodeproj/project.xcworkspace                                                                                                                         |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace/xcshareddata                                                                                                            |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace                                                                                                                                           |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace/xcshareddata                                                                                                                              |          1 |          8 |          0 |          1 |          9 |
| ios/Runner/Assets.xcassets                                                                                                                                       |          3 |        148 |          0 |          4 |        152 |
